StreetCode1,StreetCode2,StreetCode3,Violation County,NViolations
42730,54070,85330,K,1
42730,56430,39730,K,1
42730,65330,45430,K,3
42730,85730,54070,K,5
42730,87330,27430,K,1
42730,88230,64830,K,1
42820,12220,27750,BX,1
42820,26820,35950,BX,1
42820,27090,17700,BX,1
42820,29220,27360,BX,2
42820,54420,27180,BX,1
42820,74840,27540,BX,2
42920,43020,74380,BX,1
43040,0,0,K,1
43330,26730,41930,K,2
43330,85330,83330,K,1
43530,10880,10980,K,1
43730,34330,56630,K,1
43810,67450,67875,BX,1
44020,74920,74930,BX,1
44020,76550,74920,BX,1
44120,7720,37920,BX,1
44330,62030,60930,K,1
44430,36130,67030,K,1
44430,37580,37610,K,2
44430,37610,37630,K,1
44430,37730,37780,K,1
44430,53980,40930,K,1
44430,86030,36830,K,1
44430,87780,37680,K,1
44530,28730,85630,K,1
44730,32600,49630,K,2
44920,23800,62420,BX,4
44920,41040,18520,BX,1
44930,0,0,K,1
44930,31950,29230,K,1
45120,8630,34820,BX,1
45630,71830,87730,K,1
45820,45120,66920,BX,1
45930,31130,24730,K,1
45930,67030,58730,K,1
46330,65730,60430,K,1
46520,22240,24570,BX,1
46520,60520,58220,BX,1
46520,63220,60520,BX,1
46620,8020,26610,BX,1
46620,26670,40520,BX,1
46730,18630,12930,K,1
46730,54100,52130,K,1
46730,67030,58730,K,3
46830,28430,73130,K,1
46830,86730,83230,K,2
46830,94230,28430,K,1
47020,74690,76650,BX,1
47030,85730,85330,K,1
47220,28440,28470,BX,1
47520,20520,57320,BX,1
47520,52920,13320,BX,1
47630,25330,93530,K,1
47630,52130,94730,K,1
48030,23230,33030,K,1
48230,0,0,K,1
48230,40930,18630,K,11
48230,73690,67030,K,1
48420,10620,15620,BX,1
48820,45120,34820,BX,1
48820,65520,12550,BX,2
48830,26530,57570,K,2
48830,30230,68330,K,3
48830,51640,53830,K,1
48830,53830,81330,K,1
48830,53950,32130,K,1
48830,71730,60630,K,1
49030,70370,67030,K,1
49130,18630,67030,K,1
49130,23330,79830,K,1
49130,67030,64830,K,1
49420,27180,27270,BX,2
49420,27270,27300,BX,1
49530,18630,54830,K,1
49530,54830,58730,K,3
49630,0,0,K,1
49630,23830,57170,K,1
49630,30230,68330,K,1
49630,70730,26530,K,1
49720,28710,28740,BX,1
49720,28740,53720,BX,1
49920,12550,73220,BX,1
49930,42730,13430,K,2
49950,90680,90630,K,1
49950,91080,91030,K,1
50020,59720,70520,BX,1
50020,72220,50750,BX,1
50530,78330,78230,K,1
50630,0,0,K,1
50720,10985,35720,BX,1
50750,38830,58550,BX,1
50750,50020,56890,BX,1
50750,56890,78820,BX,1
50750,60570,46340,BX,1
50770,70520,12550,BX,1
50830,48330,56230,K,3
50830,70930,83730,K,2
51030,24830,24830,K,1
51030,42730,56530,K,1
51120,21820,36420,BX,1
51330,0,0,K,1
51430,82230,23230,K,1
51720,29620,27000,BX,1
51830,88330,70830,K,1
52020,9620,72920,BX,1
52020,48020,8320,BX,1
52020,57720,9620,BX,2
52120,17700,27120,BX,3
52120,25860,25920,BX,1
52120,26610,26640,BX,1
52120,27090,17700,BX,1
52120,27120,27150,BX,1
52120,29120,27090,BX,1
52120,29620,27030,BX,1
52120,50120,26670,BX,2
52120,52720,26970,BX,1
52120,57220,42820,BX,1
